text,review_index,text_processed
Suciedad intolerable,1_0,suciedad intolerable
Jamás me he encontrado un nivel de suciedad como el de este hotel,1_0,jamas encontrado nivel suciedad
Ni en hostales de una estrella,1_0,hostales estrella
Cuando llegamos tuvimos que solicitar el cambio de habitación al ver el estado de la misma (echad un vistazo a las fotos),1_0,llegamos solicitar cambio habitacion ver misma echad vistazo fotos
Durante el proceso de cambio las enseñé en recepción y ni nos miraron a la cara,1_0,proceso cambio ensene recepcion miraron cara
Ni una disculpa,1_0,disculpa
Ni un detalle,1_0,detalle
Nada durante nuestra estancia,1_0,nada estancia
Las medidas de prevención Covid son inexistentes,1_0,medidas prevencion covid inexistentes
Ni siquiera informan a los clientes extranjeros de que en España es obligatorio el uso de mascarilla en interiores,1_0,siquiera informan clientes extranjeros espana obligatorio uso mascarilla interiores
"Y, obviamente, no lo cumplen",1_0,obviamente no cumplen
Tampoco en recepción o en los ascensores,1_0,tampoco recepcion ascensores
Escribiendo sobre los ascensores,1_0,escribiendo ascensores
están colapsados,1_0,colapsados
Demasiados clientes para tan pocos,1_0,demasiados clientes tan pocos
Tuvimos que bajar numerosas veces por las escaleras desde un quinto piso (menos mal porque…,1_0,bajar numerosas veces escaleras quinto piso menos mal
Lamentable,1_1,lamentable
"Lamentable elegir un hotel de cuatro estrellas y que te adjudiquen una habitación sucia, otra ocupada con cliente limpio y la tercera sucia",1_1,lamentable elegir cuatro estrellas adjudiquen habitacion sucia ocupada cliente limpio tercera sucia
"Queria tranquilidad y no tener problemas durante el alojamiento y fue todo lo contrario, y esa experiencia por muchas disculpas que te pidan se queda ahi y no se resarce de ninguna manera, no tampoco el hotel mucha intención de resarcir la experiencia",1_1,queria tranquilidad no tener problemas alojamiento contrario experiencia muchas disculpas pidan queda ahi no resarce ninguna manera no tampoco mucha intencion resarcir experiencia
"SEVILLA CENTER, UN DISGUSTO EN EL CENTRO DE SEVILLA",1_2,sevilla center disgusto centro sevilla
"Sevilla Center, un disgusto en pleno centro de Sevilla",1_2,sevilla center disgusto pleno centro sevilla
