text,review_index,text_processed
No es oro todo lo que reluce,0,no oro reluce
"El hotel en general está bien, las habtiaciones son espaciosas y el personal es muy amable (sobretodo el encargado del roof-top y la piscina) y la zona de la piscina es curiosa",0,general bien habtiaciones espaciosas personal amable sobretodo encargado roof top piscina zona piscina curiosa
Pero tiene dos grandes fallos: El primero es que el wifi no llegaba bien a la habitación ya que se cortaba continuamente,0,dos grandes fallos primero wifi no llegaba bien habitacion cortaba continuamente
El segundo fallo es que no se les ocurre otra cosa que poner un edredón nórdico en vez de una sábana fina en pleno agosto en Sevilla,0,segundo fallo no ocurre cosa poner edredon nordico vez sabana fina pleno agosto sevilla
Un buen hotel con mucho ruido,1,buen ruido
"El hotel es moderno, amplio y limpio, pero no hemos podido disfrutar de la experiencia porque con tanto ruido no hemos podido descansar",1,moderno amplio limpio no podido disfrutar experiencia ruido no podido descansar
Además la piscina estaba llena de gente y no la hemos podido usar,1,ademas piscina llena gente no podido usar
Los empleados muy amables y la ubicación perfecta,1,empleados amables ubicacion perfecta
Precio desproporcionado,2,precio desproporcionado
"Fuimos de vacaciones y pasamos solo 1 noche a Sevilla, y la experiencia no fue del todo buena",2,vacaciones pasamos solo 1 noche sevilla experiencia no buena
Llegamos a la habitación y no habían toallas en el baño,2,llegamos habitacion no toallas bano
"Además a las 8 de la mañana nos tocaron la puerta despertándonos, y luego entraron a la habitación antes de que alcanzáramos a responder (al parecer para dejar algo, se fueron en seguida)",2,ademas 8 manana tocaron puerta despertandonos luego entraron habitacion alcanzaramos responder parecer dejar seguida
La cama rica y todo muy limpio,2,cama rica limpio
No me gustó tampoco que había que pagar mucho para incluir el desayuno y el estacionamiento,2,no gusto tampoco pagar incluir desayuno estacionamiento
No comáis en la piscina,3,no comais piscina
"La habitación, la piscina  y el personal muy bien, el bar de la piscina pésimo, todo excesivamente escaso y muy caro, no suelo quejarme de la comida, pésimos pintas de solomillo y pusieron 4 trocitos duros  y lo mejor es la parrilla de verduras, 4 trozos de pimientos 4 trocitos de cebolla y 4 de champiñón, vamos un  robo",3,habitacion piscina personal bien bar piscina pesimo excesivamente escaso caro no suelo quejarme comida pesimos pintas solomillo pusieron 4 trocitos duros mejor parrilla verduras 4 trozos pimientos 4 trocitos cebolla 4 champinon vamos robo
Estancia,4,estancia
"Estancia normal, por debajo de las expectativas y con frío en las habitaciones No encontré ayuda con el equipaje Al estacionar el coche para el check",4,estancia normal debajo expectativas frio habitaciones no encontre ayuda equipaje estacionar coche check
-in me increpó un taxista porque no hay sitio disponible para estacoinar,4,in increpo taxista no sitio disponible estacoinar
Estancia 1 noche,5,estancia 1 noche
En términos generales el hotel está bien,5,terminos generales bien
Las habitaciones necesitan una actualización: ya se aprecia el desgaste y la decadencia,5,habitaciones necesitan actualizacion aprecia desgaste decadencia
Hotel muy bien situado,5,bien situado
Personal excelente,5,personal excelente
"Pequeña incidencia en la habitación, a la que reaccionaron inmediatamente y que resolvieron de manera satisfactoria",5,pequena incidencia habitacion reaccionaron inmediatamente resolvieron manera satisfactoria
Macro hotel junto a Santa Justa,6,macro junto santa justa
"Hotel muy grande junto a la estación de Santa Justa,pedi una cama grande y se equivocaron por diversos motivos,me dieron una habitación la 505 ruidosa y cama pequeña,no pensaba volver y hoy en recepción mostre mi descontento,me acaba de llamar la responsable de Calidad y me ha aclarado todo,un gusto y un placer que las cosas funcionen,volvere gustoso",6,grande junto estacion santa justapedi cama grande equivocaron diversos motivosme dieron habitacion 505 ruidosa cama pequenano pensaba volver hoy recepcion mostre descontentome acaba llamar responsable calidad aclarado todoun gusto placer cosas funcionenvolvere gustoso
Esos baños necesitan higiene y renovación,7,banos necesitan higiene renovacion
El trato y amabilidad de los trabajadores excelente,7,trato amabilidad trabajadores excelente
"Las instalaciones generales bien, el desayuno bueno",7,instalaciones generales bien desayuno bueno
Las habitaciones espaciosas con camas cómodas,7,habitaciones espaciosas camas comodas
"Un pero, el baño necesita una obra, olores a tuberias, elementos de los sanitarios que necesitaban cambio hace mucho tiempo y con otras zonas son un nido de infecciones, griferia desenacajada y anticuada",7,bano necesita obra olores tuberias elementos sanitarios necesitaban cambio hace tiempo zonas nido infecciones griferia desenacajada anticuada
Normalito ,8,normalito
Normalito para ser un 4 estrellas,8,normalito ser 4 estrellas
El trato bien,8,trato bien
Todo correcto,8,correcto
Bien adaptado al protocolo Covid,8,bien adaptado protocolo covid
Lo mejor que está al lado de la estación de tren y para ir a la ciudad por trabajo resulta muy cómodo,8,mejor lado estacion tren ir ciudad trabajo resulta comodo
Medio aceptable,9,medio aceptable
"Reservamos una habitación deluxe en la cual el lavabo estaba atascado y se llenaba de agua hasta arriba , se suponía que la tele tenía smart tv lo cual no es así porque no tiene acceso a Internet por lo que no se podía usar el smart tv , nos ofrecieron cambiar de habitación a las 12 de la noche y nos dijeron que nos avisarían y estuvimos esperando pero nunca lo hicieron ",9,reservamos habitacion deluxe lavabo atascado llenaba agua arriba suponia tele smart tv no asi no acceso internet no podia usar smart tv ofrecieron cambiar habitacion 12 noche dijeron avisarian esperando nunca hicieron
No tiene servicio de descubierta como ofrecen en la información de la habitación,9,no servicio descubierta ofrecen informacion habitacion
Y aún siendo temporada baja tampoco puedes hacer el uso del Early check-in ni del Late check- out ,9,aun siendo temporada baja tampoco puedes hacer uso early check in late check out
Parte del personal genial la otra parte deja mucho que desear,9,parte personal genial parte deja desear
Mejorable,10,mejorable
"Como ya he contestado en el formulario, hay cosas mejorables",10,contestado formulario cosas mejorables
"Como por ejemplo el tema de la piscina y los turnos, las ventajas de clientes rewards, el tema de plagas en habitaciones, la amabilidad del personal de recepción, etc",10,ejemplo tema piscina turnos ventajas clientes rewards tema plagas habitaciones amabilidad personal recepcion etc
Hotel con mascotas y spa regulero,11,mascotas spa regulero
"El hotel está bastante bien, todas las medidas de covid perfectas y el servicio muy amable",11,bastante bien todas medidas covid perfectas servicio amable
"El único problema es que se permiten mascotas en el hotel, por lo que si eres alérgico no te hará ninguna gracia estar en la habitación estornudando todo el tiempo",11,unico problema permiten mascotas alergico no hara ninguna gracia habitacion estornudando tiempo
"Se ve que es habitual en los catalonia, porque no es la primera vez que pasa",11,ve habitual catalonia no primera vez pasa
"Por otra parte, reservamos el spa y tuvimos que pagar 4€ por unas chanclas, que no nos avisaron que deberíamos llevar",11,parte reservamos spa pagar 4 unas chanclas no avisaron deberiamos llevar
"Deberían comunicar lo necesario para disfrutar de las instalaciones, sin necesidad de ir sacando dinero",11,deberian comunicar necesario disfrutar instalaciones sin necesidad ir sacando dinero
Muy pobre par aun 4 estrellas,12,pobre par aun 4 estrellas
El hotel muy bonito y buena ubicación en general,12,bonito buena ubicacion general
Pero los servicios para ser un 4 estrellas son muy pobres,12,servicios ser 4 estrellas pobres
"Lo mismo si quieres estar en la piscina, al no estar arriba del todo y haber edificios o vas a primera hora o no tomas el sol",12,mismo quieres piscina no arriba haber edificios vas primera hora no tomas sol
Además es enana,12,ademas enana
Normalito,13,normalito
Lo mejor del hotel es la ubicación,13,mejor ubicacion
lo demás es bastante normal,13,demas bastante normal
"Sinceramente esperábamos más para  un hotel de la cadena Barceló, hemos estado en otros hoteles de la cadena y teníamos unas expectativas más elevadas para este",13,sinceramente esperabamos cadena barcelo hoteles cadena unas expectativas elevadas
Una pena,14,pena
No vale las 4 estrellas,14,no vale 4 estrellas
Necesita reforma y mejor servicio,14,necesita reforma mejor servicio
