text,text_processed
Céntrico,centrico
"Muy buen hotel al nivel de lo esperado, habitación junior suite, no muy grande pero con todo lo deseable para una estancia confortable, trato del personal agradable, ubicación muy buena para hacer turismo, super céntrico, igualmente el desayuno es estupendo",buen nivel esperado habitacion junior suite no grande deseable estancia confortable trato personal agradable ubicacion buena hacer turismo super centrico igualmente desayuno estupendo
Ubicación y comodidad,ubicacion comodidad
Gran ubicación y una enorme comodidad,gran ubicacion enorme comodidad
"La cama es de súper lujo, el baño muy limpio y bien surtido de amenities, y el hotel está situado a 5 minutos del centro y a pesar de eso, silencioso",cama super lujo bano limpio bien surtido amenities situado 5 minutos centro pesar silencioso
Es algo más caro que otros hoteles de categoría similar en la misma zona,caro hoteles categoria similar misma zona
"Aún así, es recomendable",aun asi recomendable
Conocer Sevilla,conocer sevilla
"Muchas gracias por la amabilidad, simpatia, detalles por parte de todo el personal, especialmente a Fernando y Carmela  Un hotel muy céntrico,  cama muy cómoda, un desayuno muy variado, un servicio/limpieza de habitaciones perfecto",muchas gracias amabilidad simpatia detalles parte personal especialmente fernando carmela centrico cama comoda desayuno variado servicio limpieza habitaciones perfecto
Muy aconsejable!! Maria Teresa y  Carlos,aconsejable maria teresa carlos
Estadía en Sevilla,estadia sevilla
Excelente,excelente
Hotel muy bien localizado,bien localizado
El desayuno maravilloso,desayuno maravilloso
Personal super atento Es un poco complicado llegar a las habitaciones por eso clasifico 4 Hay un restaurante muy cerca que se llama El  Tres Soles  que se come de maravilla,personal super atento complicado llegar habitaciones clasifico 4 restaurante cerca llama tres soles come maravilla
Una muy buena opción,buena opcion
La localización perfecta la en mitad del barrio De la Cruz tiene garaje aunque un caro 20€ día habitación estupenda  el servicio de primera no pudimos utilizar la piscina y la terraza debido  al mal tiempo,localizacion perfecta mitad barrio cruz garaje aunque caro 20 dia habitacion estupenda servicio primera no pudimos utilizar piscina terraza debido mal tiempo
Una opción perfecta para pasar unos días en sevilla,opcion perfecta pasar dias sevilla
Muy buen hotel en centro histórico de Sevilla,buen centro historico sevilla
"El Hotel Rey Alfonso X es un hotel muy recomendable con una envidiable localización en el casco antiguo de Sevilla, a 7 minutos a pie de La Giralda",rey alfonso x recomendable envidiable localizacion casco antiguo sevilla 7 minutos pie giralda
Es un precioso edificio antiguo rehabilitado y muy Moderno por dentro y bien equipado,precioso edificio antiguo rehabilitado moderno dentro bien equipado
Las camas muy confortables y por la noche tuvimos una habitación que daba a un patio interior muy Silencioso con lo que el descanso estuvo garantizado,camas confortables noche habitacion daba patio interior silencioso descanso garantizado
El personal del hotel es muy agradable y atento,personal agradable atento
Lástima que no tuvimos de disfrutar de la terraza oportunidad y la piscina,lastima no disfrutar terraza oportunidad piscina
A repetir,repetir
"Lo mejor, la ubicación",mejor ubicacion
"Hotel muy bien ubicado con excelente trato de todos los trabajadores pero no demasiado adaptado para ir con niños pequeños, pues la unica entrada es con escaleras y para acceder a la piscina también hay que subir y bajar muchas escaleras",bien ubicado excelente trato trabajadores no demasiado adaptado ir ninos pequenos pues unica entrada escaleras acceder piscina subir bajar muchas escaleras
POR MEJORAR,mejorar
"aunque se aprecia una cierta reforma en general , las instalaciones denotan cierto deterioro a causa del bajo mantenimiento , puertas que cierran mal , grifos que gotean cisterna que no para , muebles y tapicerias descosidos ",aunque aprecia cierta reforma general instalaciones denotan cierto deterioro causa bajo mantenimiento puertas cierran mal grifos gotean cisterna no muebles tapicerias descosidos
"parkig incomodo ,caro y muy muy ruidoso",parkig incomodo caro ruidoso
finde semana,finde semana
"hotel  centrico con instalaciones nuevas , habitaciones amplias , comodas , con la salvedad mas importante que el descanso en el colchon es para valientes pues esta duro como una roca y a dia de hoy se podria mejorar , pues al final y al cabo pagas por el sueño y en esta vez el sueño fue malo",centrico instalaciones nuevas habitaciones amplias comodas salvedad importante descanso colchon valientes pues duro roca dia hoy podria mejorar pues final cabo pagas sueno vez sueno malo
Esperaba más de lo recibido,esperaba recibido
"Aunque fueron sólo 2 noches, esperaba más de una marca como Melia",aunque solo 2 noches esperaba marca melia
Recibimiento frío x parte del recepcionista,recibimiento frio x parte recepcionista
Ascensores llenos y 10 min de espera para usarlos cdo vas con 3 niños,ascensores llenos 10 min espera usarlos cdo vas 3 ninos
Habitación cara para ser interior y pequeña,habitacion cara ser interior pequena
"Mu bien, pero hay que cuidar el ruido de los clientes maleducados",mu bien cuidar ruido clientes maleducados
El Hotel está muy bien y el servicio es excelente La nota negativa ha sido que me tocó un vecino de habitación muy maleducado que hacia ruidos a las 4 de la madrugada y que fumaba en la habitación Me cambiaron de habitación la segunda noche pero el Hotel debería vigilar estas situaciones,bien servicio excelente nota negativa sido toco vecino habitacion maleducado hacia ruidos 4 madrugada fumaba habitacion cambiaron habitacion segunda noche deberia vigilar situaciones
Céntrico y cómodo,centrico comodo
Estuvimos 5 días en una junior suites,5 dias junior suites
"Nos gustó muchísimo la habitación en el noveno piso, con vistas a la Giralda",gusto muchisimo habitacion noveno piso vistas giralda
"El día que entramos, el recepcionista, de entrada , nos dió una habitación normal y no la que teníamos contratada",dia entramos recepcionista entrada dio habitacion normal no contratada
"Fuimos a decírselo y nos la cambió, pero en ningún momento se disculpó",decirselo cambio ningun momento disculpo
"El baño está un poco anticuado con las bañeras, en la que me resbalé",bano anticuado baneras resbale
"La ubicación del hotel es fantástica, se puede ir a pie al centro o coger el tranvía o la guagua, que están a 5 min",ubicacion fantastica puede ir pie centro coger tranvia guagua 5 min
Muy bueno,bueno
"Hemos estado de luna de miel del 24 al 28 de octubre, el hotel muy bien buffet desayuno y cena bastante te bien, el unico pero que pondría que las limpiadoras no limpian las zonas altas por ejemplo cabezal de la cama y espejo del baño con polvo por encima pero todo lo demas excelente personal excelente y que decir del jefe del buffet Fco",luna miel 24 28 octubre bien buffet desayuno cena bastante bien unico pondria limpiadoras no limpian zonas altas ejemplo cabezal cama espejo bano polvo encima demas excelente personal excelente decir jefe buffet fco
Javier fuerte maravilla de persona por gente como el Sevilla tiene un color especial muchas felicidades por el trato que nos distes,javier fuerte maravilla persona gente sevilla color especial muchas felicidades trato distes
Unos Gran Canari@s muy satisfecho,gran canari s satisfecho
