,text
0,alojamiento descansar
1,solo alojamiento descansar
2,sin calefaccion operativa
3,calefaccion operativa frio
4,categoria habitaciones bastante
5,notoriamente categoria habitaciones
6,desastre ascensores pequenos
7,desastre ascensores
8,app figura vez
9,mal enorme diferencia
10,solicitar cambio habitacion
11,clientes extranjeros espana
12,adjudiquen habitacion sucia
13,tranquilidad tener problemas
14,recepcionista lunes 18bde
15,18bde octubre manana
16,centro sevilla sevilla
17,disgusto centro sevilla
18,errores aciertos experiencia
19,errores aciertos
20,habitacion 304 terraza
21,debajo habitacion 304
22,bonito fotos experiencias
23,fotos experiencias
24,habitaciones problema
25,habitaciones problema parece
26,examen sin desayunar
27,desayuno recepcion
28,llave validar tiquet
29,cobrado parquin ocasion
30,seville simpaticos publicidad
31,experiencia hall conozco
32,cigarrillo calor enciende
33,olor cigarrillo calor
34,matrimonio rapidamente respondio
35,cama matrimonio rapidamente
36,estrellas servicio pension
37,pension solo funciona
38,incompatibles bastante decepcionada
39,calidad precio incompatibles
40,barcelo personal recepcion
41,barcelo calidad cadena
42,alrededor camas
43,mugre alrededor camas
44,habitacion pegatinas informando
45,entreguen habitacion pegatinas
46,recepcion cordial correcto
47,cordial correcto ubicacion
48,esperar cadena hilton
49,hilton estandar calidad
50,horroroso ventana balcon
51,horroroso ventana
52,web habitacion cuadruple
53,fotos web contestan
54,cuanto limpiarte parking
55,limpiarte parking intentando
56,insonorizadas escucha camas
57,escucha camas
58,habitacion tampoco gusta
59,horroriza escucha habitacion
60,pedazos horroroso voy
61,cae pedazos horroroso
62,decepcion aspectos sevilla
63,macarena excelente ubicacion
64,informando piscina
65,piscina agosto sevilla
66,habitaciones restaurante parking
67,parking dificil acceso
68,telefono habitacion encontraba
69,controle categoria hoteles
70,antiguo moqueta banos
71,moqueta banos antiguos
72,alarma decretado espana
73,dinero alarma decretado
74,recepcion dejo telefono
75,habitaciones libres error
76,ventilacion ruidoso permite
77,sistema ventilacion ruidoso
78,intente ponerme contacto
79,telefono musica calificare
80,chasco restaurante gustado
81,bueno aunque room
82,dentro estrellas otorgadas
83,decepcionante dentro estrellas
84,sofa distribuidor planta
85,habitacion sucios cortinas
86,cafeteria destartalada acogedora
87,buffet poca calidad
88,ciudad room service
89,establecido carta habitaciones
90,hospital comparten parkeng
91,encantador sevilla habitacion
92,ocasionar habitaciones contiguas
93,puedan ocasionar habitaciones
94,habitacion llena hormigas
95,repetir habitacion llena
96,servicio limpieza alojados
97,limpieza alojados dos
98,reformar menos habitacion
99,aeropuerto mejores recomiendo
100,visita sevilla
101,visita sevilla desear
102,necesita reforma banos
103,reforma banos
104,atencion recepcion horrible
105,antiguo descuidado precio
106,humedad pendiente pulsador
