,rating,hotel,province
0,5,H10_Casa_de_la_Plata,Seville
1,4,H10_Casa_de_la_Plata,Seville
2,5,H10_Casa_de_la_Plata,Seville
3,5,H10_Casa_de_la_Plata,Seville
4,5,H10_Casa_de_la_Plata,Seville
5,5,H10_Casa_de_la_Plata,Seville
6,4,H10_Casa_de_la_Plata,Seville
7,5,H10_Casa_de_la_Plata,Seville
8,5,H10_Casa_de_la_Plata,Seville
9,5,H10_Casa_de_la_Plata,Seville
10,5,H10_Casa_de_la_Plata,Seville
11,5,H10_Casa_de_la_Plata,Seville
12,5,H10_Casa_de_la_Plata,Seville
13,5,H10_Casa_de_la_Plata,Seville
14,5,H10_Casa_de_la_Plata,Seville
15,5,H10_Casa_de_la_Plata,Seville
16,5,H10_Casa_de_la_Plata,Seville
17,5,H10_Casa_de_la_Plata,Seville
18,5,H10_Casa_de_la_Plata,Seville
19,5,H10_Casa_de_la_Plata,Seville
20,5,Hotel_Rey_Alfonso_X,Seville
21,4,Hotel_Rey_Alfonso_X,Seville
22,5,Hotel_Rey_Alfonso_X,Seville
23,4,Hotel_Rey_Alfonso_X,Seville
24,4,Hotel_Rey_Alfonso_X,Seville
25,5,Hotel_Rey_Alfonso_X,Seville
26,2,Hotel_Rey_Alfonso_X,Seville
27,5,Hotel_Rey_Alfonso_X,Seville
28,5,Hotel_Rey_Alfonso_X,Seville
29,5,Hotel_Rey_Alfonso_X,Seville
30,3,Hotel_Rey_Alfonso_X,Seville
31,5,Hotel_Rey_Alfonso_X,Seville
32,4,Hotel_Rey_Alfonso_X,Seville
33,5,Hotel_Rey_Alfonso_X,Seville
34,5,Hotel_Rey_Alfonso_X,Seville
35,5,Hotel_Rey_Alfonso_X,Seville
36,3,Hotel_Rey_Alfonso_X,Seville
37,5,Hotel_Rey_Alfonso_X,Seville
38,4,Hotel_Rey_Alfonso_X,Seville
39,5,Hotel_Rey_Alfonso_X,Seville
40,5,Melia_Sevilla,Seville
41,4,Melia_Sevilla,Seville
42,2,Melia_Sevilla,Seville
43,5,Melia_Sevilla,Seville
44,2,Melia_Sevilla,Seville
45,5,Melia_Sevilla,Seville
46,4,Melia_Sevilla,Seville
47,2,Melia_Sevilla,Seville
48,5,Melia_Sevilla,Seville
49,5,Melia_Sevilla,Seville
50,4,Melia_Sevilla,Seville
51,2,Melia_Sevilla,Seville
52,5,Melia_Sevilla,Seville
53,5,Melia_Sevilla,Seville
54,5,Melia_Sevilla,Seville
55,5,Melia_Sevilla,Seville
56,4,Melia_Sevilla,Seville
57,5,Melia_Sevilla,Seville
58,1,Melia_Sevilla,Seville
59,1,Melia_Sevilla,Seville
60,4,Hotel_Sevilla_Center,Seville
61,4,Hotel_Sevilla_Center,Seville
62,5,Hotel_Sevilla_Center,Seville
63,2,Hotel_Sevilla_Center,Seville
64,3,Hotel_Sevilla_Center,Seville
65,5,Hotel_Sevilla_Center,Seville
66,4,Hotel_Sevilla_Center,Seville
67,5,Hotel_Sevilla_Center,Seville
68,5,Hotel_Sevilla_Center,Seville
69,4,Hotel_Sevilla_Center,Seville
70,4,Hotel_Sevilla_Center,Seville
71,5,Hotel_Sevilla_Center,Seville
72,5,Hotel_Sevilla_Center,Seville
73,1,Hotel_Sevilla_Center,Seville
74,5,Hotel_Sevilla_Center,Seville
75,5,Hotel_Sevilla_Center,Seville
76,3,Hotel_Sevilla_Center,Seville
77,5,Hotel_Sevilla_Center,Seville
78,5,Hotel_Sevilla_Center,Seville
79,5,Hotel_Sevilla_Center,Seville
80,5,Hotel_Posada_del_Lucero,Seville
81,5,Hotel_Posada_del_Lucero,Seville
82,5,Hotel_Posada_del_Lucero,Seville
83,4,Hotel_Posada_del_Lucero,Seville
84,5,Hotel_Posada_del_Lucero,Seville
85,5,Hotel_Posada_del_Lucero,Seville
86,5,Hotel_Posada_del_Lucero,Seville
87,5,Hotel_Posada_del_Lucero,Seville
88,5,Hotel_Posada_del_Lucero,Seville
89,5,Hotel_Posada_del_Lucero,Seville
90,5,Hotel_Posada_del_Lucero,Seville
91,5,Hotel_Posada_del_Lucero,Seville
92,5,Hotel_Posada_del_Lucero,Seville
93,5,Hotel_Posada_del_Lucero,Seville
94,5,Hotel_Posada_del_Lucero,Seville
95,5,Hotel_Posada_del_Lucero,Seville
96,4,Hotel_Posada_del_Lucero,Seville
97,4,Hotel_Posada_del_Lucero,Seville
98,5,Hotel_Posada_del_Lucero,Seville
99,5,Hotel_Posada_del_Lucero,Seville
100,5,Melia_Lebreros,Seville
101,4,Melia_Lebreros,Seville
102,4,Melia_Lebreros,Seville
103,5,Melia_Lebreros,Seville
104,4,Melia_Lebreros,Seville
105,3,Melia_Lebreros,Seville
106,2,Melia_Lebreros,Seville
107,5,Melia_Lebreros,Seville
108,5,Melia_Lebreros,Seville
109,1,Melia_Lebreros,Seville
110,5,Melia_Lebreros,Seville
111,5,Melia_Lebreros,Seville
112,2,Melia_Lebreros,Seville
113,4,Melia_Lebreros,Seville
114,5,Melia_Lebreros,Seville
115,5,Melia_Lebreros,Seville
116,5,Melia_Lebreros,Seville
117,1,Melia_Lebreros,Seville
118,5,Melia_Lebreros,Seville
119,5,Melia_Lebreros,Seville
120,2,NH_Collection_Sevilla,Seville
121,4,NH_Collection_Sevilla,Seville
122,4,NH_Collection_Sevilla,Seville
123,5,NH_Collection_Sevilla,Seville
124,5,NH_Collection_Sevilla,Seville
125,4,NH_Collection_Sevilla,Seville
126,4,NH_Collection_Sevilla,Seville
127,4,NH_Collection_Sevilla,Seville
128,5,NH_Collection_Sevilla,Seville
129,4,NH_Collection_Sevilla,Seville
130,4,NH_Collection_Sevilla,Seville
131,4,NH_Collection_Sevilla,Seville
132,5,NH_Collection_Sevilla,Seville
133,5,NH_Collection_Sevilla,Seville
134,5,NH_Collection_Sevilla,Seville
135,4,NH_Collection_Sevilla,Seville
136,4,NH_Collection_Sevilla,Seville
137,3,NH_Collection_Sevilla,Seville
138,5,NH_Collection_Sevilla,Seville
139,5,NH_Collection_Sevilla,Seville
140,2,Ayre_Hotel_Sevilla,Seville
141,5,Ayre_Hotel_Sevilla,Seville
142,5,Ayre_Hotel_Sevilla,Seville
143,4,Ayre_Hotel_Sevilla,Seville
144,1,Ayre_Hotel_Sevilla,Seville
145,3,Ayre_Hotel_Sevilla,Seville
146,5,Ayre_Hotel_Sevilla,Seville
147,3,Ayre_Hotel_Sevilla,Seville
148,4,Ayre_Hotel_Sevilla,Seville
149,3,Ayre_Hotel_Sevilla,Seville
150,5,Ayre_Hotel_Sevilla,Seville
151,5,Ayre_Hotel_Sevilla,Seville
152,4,Ayre_Hotel_Sevilla,Seville
153,1,Ayre_Hotel_Sevilla,Seville
154,5,Ayre_Hotel_Sevilla,Seville
155,5,Ayre_Hotel_Sevilla,Seville
156,2,Ayre_Hotel_Sevilla,Seville
157,4,Ayre_Hotel_Sevilla,Seville
158,5,Ayre_Hotel_Sevilla,Seville
159,5,Ayre_Hotel_Sevilla,Seville
160,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
161,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
162,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
163,4,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
164,4,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
165,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
166,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
167,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
168,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
169,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
170,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
171,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
172,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
173,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
174,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
175,2,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
176,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
177,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
178,4,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
179,5,Hotel_Boutique_Las_Casas_de_El_Arenal,Seville
180,5,Catalonia_Santa_Justa_Hotel,Seville
181,2,Catalonia_Santa_Justa_Hotel,Seville
182,5,Catalonia_Santa_Justa_Hotel,Seville
183,5,Catalonia_Santa_Justa_Hotel,Seville
184,3,Catalonia_Santa_Justa_Hotel,Seville
185,3,Catalonia_Santa_Justa_Hotel,Seville
186,4,Catalonia_Santa_Justa_Hotel,Seville
187,5,Catalonia_Santa_Justa_Hotel,Seville
188,4,Catalonia_Santa_Justa_Hotel,Seville
189,5,Catalonia_Santa_Justa_Hotel,Seville
190,5,Catalonia_Santa_Justa_Hotel,Seville
191,5,Catalonia_Santa_Justa_Hotel,Seville
192,4,Catalonia_Santa_Justa_Hotel,Seville
193,5,Catalonia_Santa_Justa_Hotel,Seville
194,5,Catalonia_Santa_Justa_Hotel,Seville
195,3,Catalonia_Santa_Justa_Hotel,Seville
